Data,WO Mandante,Pontos Mandante,Clube Mandante,Clube Visitante,Pontos Visitante,WO visitante,Campo Neutro?
16/02,,6,Itajubá,Unidos da Mooca,0,,
16/02,,6,Mauá,São Caetano,0,,
23/02,,6,Itajubá,Vinoca,0,,
23/02,,6,Mauá,Unidos da Mooca,0,,
09/03,,5,Itajubá,Mauá,1,,
09/03,,6,Vinoca,São Caetano,0,,
16/03,,5,Itajubá,São Caetano,0,WO,
16/03,,6,Mauá,Vinoca,0,,
23/03,,2,Unidos da Mooca,Vinoca,6,,
23/03,,1,Itajubá,Mauá,2,,
30/03,,5,Itajubá,Vinoca,6,,
30/03,,1,Mauá,Unidos da Mooca,0,,
06/04,WO,0,Vinoca,São Caetano,6,,
06/04,,0,Mauá,Itajubá,5,,
13/04,WO,0,São Caetano,Unidos da Mooca,6,,
27/04,,,São Caetano,Mauá,,,
27/04,,,Vinoca,Itajubá,,,
27/04,,,Unidos da Mooca,,,,
04/05,,,Itajubá,Unidos da Mooca,,,
04/05,,,Vinoca,Mauá,,,
04/05,,,São Caetano,,,,
